simulação,mês,faturamento mensal
1,Mês 01,84967.14
2,Mês 01,82419.62
3,Mês 01,74556.17
4,Mês 01,82088.64
5,Mês 01,83436.18
6,Mês 01,75208.26
7,Mês 01,79641.74
8,Mês 01,71915.06
9,Mês 01,82961.20
10,Mês 01,82575.50
11,Mês 01,87910.32
12,Mês 01,69376.96
13,Mês 01,82598.83
14,Mês 01,98657.75
15,Mês 01,77546.12
16,Mês 01,86256.67
17,Mês 01,82140.94
18,Mês 01,66223.31
19,Mês 01,72271.75
20,Mês 01,72846.96
21,Mês 01,72074.79
22,Mês 01,101221.56
23,Mês 01,77474.32
24,Mês 01,81990.60
25,Mês 01,82809.92
26,Mês 01,71710.05
27,Mês 01,88254.16
28,Mês 01,69939.83
29,Mês 01,71745.03
30,Mês 01,72815.56
31,Mês 01,85193.47
32,Mês 01,94511.44
33,Mês 01,72408.67
34,Mês 01,62868.65
35,Mês 01,81202.96
36,Mês 01,100607.48
37,Mês 01,77305.93
38,Mês 01,66955.30
39,Mês 01,78929.70
40,Mês 01,74694.99
41,Mês 01,78720.82
42,Mês 01,80773.68
43,Mês 01,73493.57
44,Mês 01,85009.17
45,Mês 01,82597.23
46,Mês 01,88356.92
47,Mês 01,91677.82
48,Mês 01,92012.14
49,Mês 01,82356.15
50,Mês 01,88303.36
51,Mês 01,87569.89
52,Mês 01,82799.69
53,Mês 01,95931.87
54,Mês 01,88231.71
55,Mês 01,77690.65
56,Mês 01,74263.38
57,Mês 01,76573.12
58,Mês 01,67778.72
59,Mês 01,83261.33
60,Mês 01,59180.71
61,Mês 01,83078.02
62,Mês 01,84082.53
63,Mês 01,85176.59
64,Mês 01,84933.18
65,Mês 01,73730.33
66,Mês 01,81777.01
67,Mês 01,82715.79
68,Mês 01,75655.04
69,Mês 01,82670.50
70,Mês 01,75798.13
71,Mês 01,79505.36
72,Mês 01,73626.13
73,Mês 01,73872.11
74,Mês 01,74823.89
75,Mês 01,85906.55
76,Mês 01,83686.73
77,Mês 01,82493.84
78,Mês 01,91950.47
79,Mês 01,69787.67
80,Mês 01,79544.14
81,Mês 01,86427.23
82,Mês 01,88406.44
83,Mês 01,79963.97
84,Mês 01,97976.87
85,Mês 01,90495.53
86,Mês 01,85228.35
87,Mês 01,83992.23
88,Mês 01,78273.73
